Index,Date: 2022.08.14-17:25:20
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=8.391 ms
1,RSSI: -70
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.756 ms
3,RSSI: -70
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.149 ms
5,RSSI: -70
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.104 ms
7,RSSI: -70
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.954 ms
9,RSSI: -69
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.073 ms
11,RSSI: -70
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.287 ms
13,RSSI: -70
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.080 ms
15,RSSI: -70
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.915 ms
17,RSSI: -69
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.186 ms
19,RSSI: -69
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.775 ms
21,RSSI: -68
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.080 ms
23,RSSI: -69
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.534 ms
25,RSSI: -69
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.893 ms
27,RSSI: -68
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.141 ms
29,RSSI: -69
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.511 ms
31,RSSI: -69
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.069 ms
33,RSSI: -69
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.848 ms
35,RSSI: -69
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.904 ms
37,RSSI: -69
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.082 ms
39,RSSI: -69
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.122 ms
41,RSSI: -69
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.629 ms
43,RSSI: -69
44,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.611 ms
45,RSSI: -71
46,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.983 ms
47,RSSI: -71
48,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.368 ms
49,RSSI: -71
50,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.978 ms
51,RSSI: -70
52,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.010 ms
53,RSSI: -70
54,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.064 ms
55,RSSI: -70
56,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.136 ms
57,RSSI: -71
58,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.991 ms
59,RSSI: -72
