Index,Date: 2022.08.14-17:19:52
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.939 ms
1,RSSI: -56
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.864 ms
3,RSSI: -56
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=22.728 ms
5,RSSI: -56
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.205 ms
7,RSSI: -56
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.103 ms
9,RSSI: -55
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.032 ms
11,RSSI: -55
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.877 ms
13,RSSI: -56
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.201 ms
15,RSSI: -55
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.051 ms
17,RSSI: -56
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=8.587 ms
19,RSSI: -56
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.128 ms
21,RSSI: -55
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.163 ms
23,RSSI: -55
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.823 ms
25,RSSI: -55
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.597 ms
27,RSSI: -55
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.386 ms
29,RSSI: -54
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.177 ms
31,RSSI: -54
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.244 ms
33,RSSI: -53
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.115 ms
35,RSSI: -52
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.595 ms
37,RSSI: -51
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.965 ms
39,RSSI: -52
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.588 ms
41,RSSI: -52
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.138 ms
43,RSSI: -54
44,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.862 ms
45,RSSI: -56
46,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.148 ms
47,RSSI: -57
48,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.613 ms
49,RSSI: -57
50,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.058 ms
51,RSSI: -57
52,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.148 ms
53,RSSI: -58
54,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.988 ms
55,RSSI: -58
56,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.044 ms
57,RSSI: -58
58,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.059 ms
59,RSSI: -60
60,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.294 ms
61,RSSI: -60
62,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.233 ms
63,RSSI: -60
64,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.000 ms
65,RSSI: -61
66,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.339 ms
67,RSSI: -61
68,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.717 ms
69,RSSI: -61
70,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.574 ms
71,RSSI: -60
72,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=9.189 ms
73,RSSI: -59
74,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.056 ms
75,RSSI: -58
76,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.143 ms
77,RSSI: -59
78,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.066 ms
79,RSSI: -59
80,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.185 ms
81,RSSI: -60
82,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.112 ms
83,RSSI: -62
84,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.209 ms
85,RSSI: -63
86,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.952 ms
87,RSSI: -63
88,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.128 ms
89,RSSI: -63
90,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.723 ms
91,RSSI: -63
92,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.973 ms
93,RSSI: -62
94,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.012 ms
95,RSSI: -61
96,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.422 ms
97,RSSI: -61
98,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.147 ms
99,RSSI: -60
100,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.170 ms
