Index,Date: 2022.08.03-14:38:32
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=61.426 ms
1,RSSI: -65
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.676 ms
3,RSSI: -65
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=24.773 ms
5,RSSI: -65
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=26.914 ms
7,RSSI: -64
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=31.841 ms
9,RSSI: -64
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.697 ms
11,RSSI: -64
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=11.633 ms
13,RSSI: -64
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=32.002 ms
15,RSSI: -65
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=24.127 ms
17,RSSI: -67
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=157.481 ms
19,RSSI: -69
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.926 ms
21,RSSI: -69
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.864 ms
23,RSSI: -70
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.381 ms
25,RSSI: -70
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=34.003 ms
27,RSSI: -70
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.030 ms
29,RSSI: -71
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.284 ms
31,RSSI: -72
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.905 ms
33,RSSI: -72
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.272 ms
35,RSSI: -72
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.152 ms
37,RSSI: -71
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.273 ms
39,RSSI: -71
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=37.157 ms
41,RSSI: -72
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.555 ms
