Index,Date: 2022.08.03-14:41:11
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.326 ms
1,RSSI: -74
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=96.966 ms
3,RSSI: -74
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.488 ms
5,RSSI: -75
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=27.397 ms
7,RSSI: -74
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.686 ms
9,RSSI: -74
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=10.118 ms
11,RSSI: -74
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=21.613 ms
13,RSSI: -73
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=20.126 ms
15,RSSI: -73
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.259 ms
17,RSSI: -73
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=100.372 ms
19,RSSI: -74
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.120 ms
21,RSSI: -74
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.659 ms
23,RSSI: -75
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=124.017 ms
25,RSSI: -75
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.804 ms
27,RSSI: -76
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.074 ms
29,RSSI: -75
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.844 ms
31,RSSI: -75
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.205 ms
33,RSSI: -76
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.429 ms
35,RSSI: -75
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.514 ms
37,RSSI: -75
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=54.260 ms
39,RSSI: -75
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.161 ms
41,RSSI: -74
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.029 ms
43,RSSI: -74
44,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.381 ms
45,RSSI: -75
46,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=38.980 ms
47,RSSI: -76
48,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.040 ms
49,RSSI: -76
50,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.493 ms
51,RSSI: -76
52,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.994 ms
53,RSSI: -76
54,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.235 ms
55,RSSI: -76
56,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.362 ms
57,RSSI: -77
58,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.928 ms
59,RSSI: -77
60,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=54.234 ms
61,RSSI: -77
62,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.343 ms
63,RSSI: -76
64,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.193 ms
65,RSSI: -76
66,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.636 ms
67,RSSI: -76
68,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=44.881 ms
69,RSSI: -76
70,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.064 ms
71,RSSI: -76
72,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.235 ms
73,RSSI: -77
74,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.845 ms
75,RSSI: -77
76,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.176 ms
77,RSSI: -77
78,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.560 ms
79,RSSI: -77
80,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.624 ms
81,RSSI: -77
82,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=44.410 ms
83,RSSI: -78
84,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.964 ms
85,RSSI: -77
86,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.102 ms
87,RSSI: -77
88,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.711 ms
89,RSSI: -78
90,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=38.638 ms
91,RSSI: -78
92,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=48.662 ms
93,RSSI: -78
94,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=187.839 ms
95,RSSI: -78
96,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=134.929 ms
97,RSSI: -78
98,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.085 ms
99,RSSI: -77
100,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=220.702 ms
101,RSSI: -77
102,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=88.626 ms
103,RSSI: -77
104,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=91.805 ms
105,RSSI: -77
106,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=212.580 ms
107,RSSI: -77
108,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=87.545 ms
109,RSSI: -76
110,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.385 ms
111,RSSI: -75
112,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=38.950 ms
113,RSSI: -75
114,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=91.522 ms
115,RSSI: -76
116,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=89.799 ms
117,RSSI: -77
118,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=215.345 ms
119,RSSI: -77
120,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=37.527 ms
121,RSSI: -77
122,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=365.613 ms
123,RSSI: -77
124,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=158.301 ms
125,RSSI: -65
126,#--------------   BSSID change detected!   --------------#
127,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=94.368 ms
128,RSSI: -65
129,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.404 ms
130,RSSI: -67
131,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.033 ms
132,RSSI: -67
133,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=94.462 ms
134,RSSI: -70
135,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.656 ms
136,RSSI: -71
137,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=9.266 ms
138,RSSI: -71
139,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.737 ms
140,RSSI: -71
141,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.829 ms
142,RSSI: -72
143,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.292 ms
144,RSSI: -72
145,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=9.879 ms
146,RSSI: -71
147,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=18.902 ms
148,RSSI: -72
149,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.368 ms
150,RSSI: -72
151,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.220 ms
152,RSSI: -72
153,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=9.672 ms
154,RSSI: -73
155,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=38.658 ms
156,RSSI: -73
157,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=8.100 ms
158,RSSI: -73
159,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.799 ms
160,RSSI: -74
161,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.792 ms
162,RSSI: -75
163,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.354 ms
164,RSSI: -75
165,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=8.403 ms
166,RSSI: -74
167,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=10.508 ms
168,RSSI: -74
169,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=38.510 ms
170,RSSI: -74
171,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=8.412 ms
172,RSSI: -74
173,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.680 ms
174,RSSI: -74
175,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.232 ms
176,RSSI: -73
177,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=35.081 ms
178,RSSI: -73
179,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.760 ms
180,RSSI: -72
181,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.239 ms
182,RSSI: -72
183,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.148 ms
184,RSSI: -72
185,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.513 ms
186,RSSI: -72
187,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.040 ms
188,RSSI: -72
189,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.457 ms
190,RSSI: -72
191,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=48.356 ms
192,RSSI: -72
193,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.350 ms
194,RSSI: -72
195,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.668 ms
196,RSSI: -73
197,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.924 ms
198,RSSI: -72
199,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=45.811 ms
200,RSSI: -72
201,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.184 ms
202,RSSI: -72
203,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.022 ms
204,RSSI: -71
205,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.108 ms
206,RSSI: -71
207,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.024 ms
208,RSSI: -71
209,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.612 ms
210,RSSI: -71
211,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.548 ms
212,RSSI: -71
213,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=49.369 ms
214,RSSI: -71
215,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.106 ms
216,RSSI: -71
217,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.958 ms
218,RSSI: -70
219,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.987 ms
220,RSSI: -69
221,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=47.561 ms
222,RSSI: -68
223,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.572 ms
224,RSSI: -67
