Index,Date: 2022.08.14-17:22:15
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.660 ms
1,RSSI: -70
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.158 ms
3,RSSI: -70
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.889 ms
5,RSSI: -70
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.954 ms
7,RSSI: -70
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.074 ms
9,RSSI: -70
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.900 ms
11,RSSI: -71
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.092 ms
13,RSSI: -70
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.153 ms
15,RSSI: -70
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.775 ms
17,RSSI: -70
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.918 ms
19,RSSI: -69
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.018 ms
21,RSSI: -71
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.099 ms
23,RSSI: -72
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.979 ms
25,RSSI: -72
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.321 ms
27,RSSI: -72
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.355 ms
29,RSSI: -71
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.133 ms
31,RSSI: -70
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.089 ms
33,RSSI: -69
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.662 ms
35,RSSI: -69
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.355 ms
37,RSSI: -68
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.012 ms
39,RSSI: -68
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.590 ms
41,RSSI: -70
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.598 ms
43,RSSI: -70
44,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.642 ms
45,RSSI: -70
46,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.068 ms
47,RSSI: -70
48,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.646 ms
49,RSSI: -70
50,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.222 ms
51,RSSI: -70
52,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.304 ms
53,RSSI: -71
54,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.014 ms
55,RSSI: -71
56,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.689 ms
57,RSSI: -72
58,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.120 ms
59,RSSI: -72
60,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.000 ms
61,RSSI: -72
62,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.089 ms
63,RSSI: -71
64,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.630 ms
65,RSSI: -70
66,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.049 ms
67,RSSI: -70
68,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.021 ms
69,RSSI: -69
70,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.824 ms
71,RSSI: -69
72,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.002 ms
73,RSSI: -69
74,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.265 ms
75,RSSI: -69
76,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=8.444 ms
77,RSSI: -69
78,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.695 ms
79,RSSI: -69
80,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.927 ms
81,RSSI: -68
82,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.207 ms
83,RSSI: -69
84,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.135 ms
85,RSSI: -70
86,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=33.233 ms
87,RSSI: -70
88,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.150 ms
89,RSSI: -70
90,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.406 ms
91,RSSI: -70
92,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.534 ms
93,RSSI: -71
94,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.852 ms
95,RSSI: -72
