Index,Date: 2022-08-03 10:05:42
124,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.918 ms
125,RSSI: -66
126,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.741 ms
127,RSSI: -65
128,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.083 ms
129,RSSI: -66
130,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.986 ms
131,RSSI: -68
132,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.035 ms
133,RSSI: -69
134,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=10.127 ms
135,RSSI: -70
136,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.322 ms
137,RSSI: -70
138,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.925 ms
139,RSSI: -72
140,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.427 ms
141,RSSI: -73
142,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.639 ms
143,RSSI: -73
144,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.846 ms
145,RSSI: -73
146,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.961 ms
147,RSSI: -73
148,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=8.586 ms
149,RSSI: -74
150,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.764 ms
151,RSSI: -75
152,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.665 ms
153,RSSI: -76
154,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.095 ms
155,RSSI: -76
156,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.885 ms
157,RSSI: -76
158,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.318 ms
159,RSSI: -76
160,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.566 ms
161,RSSI: -77
162,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.182 ms
163,RSSI: -77
164,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=9.513 ms
165,RSSI: -78
166,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.157 ms
167,RSSI: -77
168,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.772 ms
169,RSSI: -76
170,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.644 ms
171,RSSI: -77
172,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.873 ms
173,RSSI: -78
174,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=16.774 ms
175,RSSI: -79
176,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=17.186 ms
177,RSSI: -79
178,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.599 ms
179,RSSI: -79
180,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=26.736 ms
181,RSSI: -79
182,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=39.327 ms
183,RSSI: -78
184,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=207.479 ms
185,RSSI: -79
186,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=90.707 ms
187,RSSI: -79
188,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=98.157 ms
189,RSSI: -80
190,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=98.786 ms
191,RSSI: -79
192,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=26.998 ms
193,RSSI: -79
194,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=95.126 ms
195,RSSI: -79
196,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=94.695 ms
197,RSSI: -79
198,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=18.447 ms
199,RSSI: -79
200,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=99.147 ms
201,RSSI: -79
202,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=93.551 ms
203,RSSI: -79
204,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=112.917 ms
205,RSSI: -79
206,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=29.258 ms
207,RSSI: -81
208,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=81.461 ms
209,RSSI: -81
210,
211,RSSI: -61
212,#--------------   BSSID change detected!   --------------#
213,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.993 ms
214,RSSI: -62
215,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.315 ms
216,RSSI: -62
217,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.714 ms
218,RSSI: -62
219,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.013 ms
220,RSSI: -61
221,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.711 ms
222,RSSI: -61
223,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.187 ms
224,RSSI: -62
225,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.637 ms
226,RSSI: -62
227,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.057 ms
228,RSSI: -62
229,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.023 ms
230,RSSI: -61
231,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.998 ms
232,RSSI: -61
233,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.983 ms
234,RSSI: -60
235,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.575 ms
236,RSSI: -61
237,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.784 ms
238,RSSI: -60
239,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.135 ms
240,RSSI: -61
241,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.147 ms
242,RSSI: -61
243,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.129 ms
244,RSSI: -60
245,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.180 ms
246,RSSI: -60
247,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.062 ms
248,RSSI: -59
249,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.570 ms
250,RSSI: -59
251,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.007 ms
252,RSSI: -59
253,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.071 ms
254,RSSI: -60
255,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.005 ms
256,RSSI: -60
257,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.087 ms
258,RSSI: -60
259,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.735 ms
260,RSSI: -60
261,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.060 ms
262,RSSI: -60
263,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.523 ms
264,RSSI: -60
265,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.839 ms
266,RSSI: -59
267,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.596 ms
268,RSSI: -60
269,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.941 ms
270,RSSI: -60
271,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.040 ms
272,RSSI: -61
273,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.035 ms
274,RSSI: -61
275,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.057 ms
276,RSSI: -61
277,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.929 ms
278,RSSI: -60
279,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.020 ms
280,RSSI: -60
281,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.170 ms
282,RSSI: -60
283,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.560 ms
284,RSSI: -60
285,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.110 ms
286,RSSI: -59
287,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.498 ms
288,RSSI: -59
289,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.992 ms
290,RSSI: -59
291,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.081 ms
292,RSSI: -60
293,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.974 ms
294,RSSI: -60
295,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.938 ms
296,RSSI: -60
297,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.512 ms
298,RSSI: -60
299,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.924 ms
300,RSSI: -61
301,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.056 ms
302,RSSI: -61
303,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.164 ms
304,RSSI: -61
305,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.683 ms
306,RSSI: -61
307,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.865 ms
308,RSSI: -61
309,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.204 ms
310,RSSI: -61
