Index,Date: 2022.08.14-17:24:59
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=112.773 ms
1,RSSI: -82
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=83.809 ms
3,RSSI: -81
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=149.023 ms
5,RSSI: -66
6,#--------------   BSSID change detected!   --------------#
7,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.204 ms
8,RSSI: -66
9,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.018 ms
10,RSSI: -66
11,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.218 ms
12,RSSI: -67
13,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.855 ms
14,RSSI: -67
15,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.761 ms
16,RSSI: -68
17,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.957 ms
18,RSSI: -69
19,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.024 ms
20,RSSI: -69
21,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.651 ms
22,RSSI: -68
23,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.058 ms
24,RSSI: -67
25,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.658 ms
26,RSSI: -66
27,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.090 ms
28,RSSI: -66
29,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.023 ms
30,RSSI: -66
31,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.761 ms
32,RSSI: -67
33,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.649 ms
34,RSSI: -67
35,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.022 ms
36,RSSI: -67
37,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.867 ms
38,RSSI: -68
39,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.936 ms
40,RSSI: -68
41,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.138 ms
42,RSSI: -68
43,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.026 ms
44,RSSI: -68
45,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.196 ms
46,RSSI: -68
47,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.543 ms
48,RSSI: -68
49,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.073 ms
50,RSSI: -67
51,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.057 ms
52,RSSI: -67
53,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.898 ms
54,RSSI: -68
55,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.322 ms
56,RSSI: -68
57,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.563 ms
58,RSSI: -69
59,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.683 ms
60,RSSI: -68
61,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.994 ms
62,RSSI: -68
63,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.188 ms
64,RSSI: -68
65,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.323 ms
66,RSSI: -68
67,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.318 ms
68,RSSI: -69
69,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.817 ms
70,RSSI: -69
71,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.219 ms
72,RSSI: -69
73,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.085 ms
74,RSSI: -69
75,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.045 ms
76,RSSI: -68
77,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.817 ms
78,RSSI: -68
79,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.179 ms
80,RSSI: -68
81,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.149 ms
82,RSSI: -67
83,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.122 ms
84,RSSI: -67
85,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.142 ms
86,RSSI: -67
87,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.134 ms
88,RSSI: -67
89,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.838 ms
90,RSSI: -68
91,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.295 ms
92,RSSI: -68
93,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.996 ms
94,RSSI: -68
95,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.126 ms
96,RSSI: -68
97,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=8.183 ms
98,RSSI: -68
99,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.749 ms
100,RSSI: -68
101,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.485 ms
102,RSSI: -69
103,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.292 ms
104,RSSI: -69
