Index,Date: 2022.08.14-17:23:46
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.747 ms
1,RSSI: -74
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.550 ms
3,RSSI: -73
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.804 ms
5,RSSI: -74
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.363 ms
7,RSSI: -74
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.825 ms
9,RSSI: -75
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.194 ms
11,RSSI: -75
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.707 ms
13,RSSI: -75
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.855 ms
15,RSSI: -75
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.375 ms
17,RSSI: -75
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.512 ms
19,RSSI: -75
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.099 ms
21,RSSI: -74
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.805 ms
23,RSSI: -74
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.549 ms
25,RSSI: -74
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.076 ms
27,RSSI: -74
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.111 ms
29,RSSI: -74
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.857 ms
31,RSSI: -74
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=13.358 ms
33,RSSI: -73
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.180 ms
35,RSSI: -73
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.075 ms
37,RSSI: -73
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.042 ms
39,RSSI: -73
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.334 ms
41,RSSI: -72
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.962 ms
43,RSSI: -71
44,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.854 ms
45,RSSI: -70
46,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.945 ms
47,RSSI: -70
48,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.219 ms
49,RSSI: -70
50,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.087 ms
51,RSSI: -70
52,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.728 ms
53,RSSI: -71
54,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.886 ms
55,RSSI: -72
56,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.135 ms
57,RSSI: -72
58,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.050 ms
59,RSSI: -71
60,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.342 ms
61,RSSI: -71
62,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.745 ms
63,RSSI: -70
64,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.170 ms
65,RSSI: -71
66,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.095 ms
67,RSSI: -71
68,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.293 ms
69,RSSI: -71
