Index,Date: 2022.08.14-17:19:02
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.962 ms
1,RSSI: -53
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=96.706 ms
3,RSSI: -53
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=105.332 ms
5,RSSI: -52
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.974 ms
7,RSSI: -52
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=88.138 ms
9,RSSI: -52
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=93.033 ms
11,RSSI: -52
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=61.380 ms
13,RSSI: -53
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=97.721 ms
15,RSSI: -55
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=70.592 ms
17,RSSI: -55
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=53.552 ms
19,RSSI: -55
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=92.995 ms
21,RSSI: -55
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=83.619 ms
23,RSSI: -55
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=88.759 ms
25,RSSI: -55
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=19.619 ms
27,RSSI: -55
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=16.984 ms
29,RSSI: -55
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=96.775 ms
31,RSSI: -55
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=95.110 ms
33,RSSI: -55
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=33.489 ms
35,RSSI: -55
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=109.558 ms
37,RSSI: -56
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=92.646 ms
39,RSSI: -56
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.613 ms
41,RSSI: -57
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=46.313 ms
43,RSSI: -57
44,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=97.267 ms
45,RSSI: -58
46,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=75.887 ms
47,RSSI: -59
48,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=99.337 ms
49,RSSI: -59
50,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.000 ms
51,RSSI: -59
52,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.852 ms
53,RSSI: -60
54,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.447 ms
55,RSSI: -60
56,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.271 ms
57,RSSI: -59
58,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.608 ms
59,RSSI: -59
60,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.960 ms
61,RSSI: -58
62,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.935 ms
63,RSSI: -58
64,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.190 ms
65,RSSI: -58
66,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.643 ms
67,RSSI: -59
68,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.490 ms
69,RSSI: -59
70,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.077 ms
71,RSSI: -59
72,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.653 ms
73,RSSI: -60
74,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.158 ms
75,RSSI: -60
76,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.141 ms
77,RSSI: -59
78,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.989 ms
79,RSSI: -59
80,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.187 ms
81,RSSI: -58
82,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.271 ms
83,RSSI: -58
84,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.052 ms
85,RSSI: -58
86,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.822 ms
87,RSSI: -59
88,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.913 ms
89,RSSI: -60
